 X0/lambda deviation_0_X deviation_0_Y deviation_0_Z
  8.333333333333334E-04 -2.198143526192416E+00 -2.371435464405419E+00 -1.779369833580166E-01
  1.666666666666667E-03 -2.198143526192416E+00 -2.371435464405419E+00 -1.779369833580166E-01
  2.500000000000000E-03 -2.198143526192416E+00 -2.371435464405419E+00 -1.779369833580166E-01
  3.333333333333334E-03 -2.198143526192416E+00 -2.371435464405419E+00 -1.779369833580166E-01
  4.166666666666667E-03 -2.198143526192416E+00 -2.371435464405419E+00 -1.779369833580166E-01
  5.000000000000000E-03 -2.198143526192416E+00 -2.371435464405419E+00 -1.779369833580166E-01
  5.833333333333334E-03 -2.198143526192416E+00 -2.365161430427761E+00 -1.779369833580166E-01
  6.666666666666667E-03 -2.191869492214757E+00 -2.365161430427761E+00 -1.779369833580166E-01
  7.500000000000000E-03 -2.191869492214757E+00 -2.365161430427761E+00 -1.779369833580166E-01
  8.333333333333333E-03 -2.191869492214757E+00 -2.358887396450120E+00 -1.779369833580166E-01
  9.166666666666667E-03 -2.191869492214757E+00 -2.358887396450120E+00 -1.779369833580166E-01
  1.000000000000000E-02 -2.185595458237117E+00 -2.358887396450120E+00 -1.779369833580166E-01
  1.083333333333333E-02 -2.185595458237117E+00 -2.352613362472462E+00 -1.779369833580166E-01
  1.166666666666667E-02 -2.185595458237117E+00 -2.352613362472462E+00 -1.779369833580166E-01
  1.250000000000000E-02 -2.179321424259459E+00 -2.346339328494822E+00 -1.779369833580166E-01
  1.333333333333333E-02 -2.179321424259459E+00 -2.346339328494822E+00 -1.779369833580166E-01
  1.416666666666667E-02 -2.173047390281818E+00 -2.340065294517163E+00 -1.779369833580166E-01
  1.500000000000000E-02 -2.173047390281818E+00 -2.340065294517163E+00 -1.779369833580166E-01
  1.583333333333333E-02 -2.166773356304160E+00 -2.333791260539523E+00 -1.779369833580166E-01
  1.666666666666667E-02 -2.166773356304160E+00 -2.327517226561864E+00 -1.779369833580166E-01
  1.750000000000000E-02 -2.160499322326520E+00 -2.327517226561864E+00 -1.779369833580166E-01
  1.833333333333333E-02 -2.154225288348861E+00 -2.321243192584224E+00 -1.779369833580166E-01
  1.916666666666667E-02 -2.154225288348861E+00 -2.314969158606566E+00 -1.779369833580166E-01
  2.000000000000000E-02 -2.147951254371221E+00 -2.308695124628907E+00 -1.779369833580166E-01
  2.083333333333333E-02 -2.147951254371221E+00 -2.302421090651267E+00 -1.779369833580166E-01
  2.166666666666667E-02 -2.141677220393563E+00 -2.296147056673608E+00 -1.779369833580166E-01
  2.250000000000000E-02 -2.135403186415904E+00 -2.296147056673608E+00 -1.779369833580166E-01
  2.333333333333333E-02 -2.129129152438264E+00 -2.289873022695968E+00 -1.779369833580166E-01
  2.416666666666667E-02 -2.129129152438264E+00 -2.283598988718309E+00 -1.842110173356660E-01
  2.500000000000000E-02 -2.122855118460605E+00 -2.277324954740669E+00 -1.842110173356660E-01
  2.583333333333333E-02 -2.116581084482965E+00 -2.271050920763011E+00 -1.842110173356660E-01
  2.666666666666667E-02 -2.110307050505307E+00 -2.264776886785371E+00 -1.842110173356660E-01
  2.750000000000000E-02 -2.104033016527667E+00 -2.252228818830072E+00 -1.842110173356660E-01
  2.833333333333333E-02 -2.097758982550008E+00 -2.245954784852414E+00 -1.842110173356660E-01
  2.916666666666667E-02 -2.091484948572368E+00 -2.239680750874773E+00 -1.842110173356660E-01
  3.000000000000000E-02 -2.085210914594709E+00 -2.233406716897115E+00 -1.842110173356660E-01
  3.083333333333333E-02 -2.078936880617069E+00 -2.227132682919474E+00 -1.842110173356660E-01
  3.166666666666667E-02 -2.072662846639410E+00 -2.214584614964157E+00 -1.842110173356660E-01
  3.250000000000000E-02 -2.066388812661770E+00 -2.208310580986517E+00 -1.842110173356660E-01
  3.333333333333333E-02 -2.060114778684111E+00 -2.202036547008859E+00 -1.842110173356660E-01
  3.416666666666666E-02 -2.053840744706472E+00 -2.189488479053560E+00 -1.842110173356660E-01
  3.500000000000000E-02 -2.047566710728813E+00 -2.183214445075920E+00 -1.842110173356660E-01
  3.583333333333334E-02 -2.041292676751173E+00 -2.176940411098261E+00 -1.842110173356660E-01
  3.666666666666667E-02 -2.028744608795856E+00 -2.164392343142963E+00 -1.842110173356660E-01
  3.750000000000000E-02 -2.022470574818215E+00 -2.158118309165323E+00 -1.842110173356660E-01
  3.833333333333333E-02 -2.016196540840557E+00 -2.145570241210024E+00 -1.842110173356660E-01
  3.916666666666667E-02 -2.009922506862917E+00 -2.139296207232365E+00 -1.842110173356660E-01
  4.000000000000000E-02 -1.997374438907618E+00 -2.126748139277066E+00 -1.842110173356660E-01
  4.083333333333333E-02 -1.991100404929959E+00 -2.114200071321767E+00 -1.842110173356660E-01
  4.166666666666666E-02 -1.984826370952319E+00 -2.107926037344109E+00 -1.842110173356660E-01
  4.250000000000000E-02 -1.972278302997021E+00 -2.095377969388810E+00 -1.842110173356660E-01
  4.333333333333333E-02 -1.966004269019362E+00 -2.082829901433512E+00 -1.842110173356660E-01
  4.416666666666667E-02 -1.953456201064063E+00 -2.076555867455872E+00 -1.842110173356660E-01
  4.500000000000000E-02 -1.947182167086423E+00 -2.064007799500573E+00 -1.842110173356660E-01
  4.583333333333333E-02 -1.934634099131106E+00 -2.051459731545274E+00 -1.842110173356660E-01
  4.666666666666667E-02 -1.928360065153466E+00 -2.038911663589975E+00 -1.842110173356660E-01
  4.750000000000000E-02 -1.915811997198167E+00 -2.026363595634677E+00 -1.842110173356660E-01
  4.833333333333333E-02 -1.909537963220509E+00 -2.020089561657018E+00 -1.842110173356660E-01
  4.916666666666666E-02 -1.896989895265210E+00 -2.007541493701719E+00 -1.842110173356660E-01
  5.000000000000000E-02 -1.890715861287570E+00 -1.994993425746421E+00 -1.842110173356660E-01
  5.083333333333333E-02 -1.878167793332271E+00 -1.982445357791122E+00 -1.842110173356660E-01
  5.166666666666667E-02 -1.865619725376972E+00 -1.969897289835823E+00 -1.842110173356660E-01
  5.250000000000000E-02 -1.859345691399314E+00 -1.957349221880525E+00 -1.842110173356660E-01
  5.333333333333334E-02 -1.846797623444015E+00 -1.944801153925226E+00 -1.842110173356660E-01
  5.416666666666667E-02 -1.834249555488716E+00 -1.932253085969927E+00 -1.842110173356660E-01
  5.500000000000000E-02 -1.821701487533418E+00 -1.919705018014628E+00 -1.842110173356660E-01
  5.583333333333333E-02 -1.815427453555759E+00 -1.907156950059311E+00 -1.842110173356660E-01
  5.666666666666666E-02 -1.802879385600460E+00 -1.888334848126372E+00 -1.842110173356660E-01
  5.750000000000000E-02 -1.790331317645162E+00 -1.875786780171074E+00 -1.842110173356660E-01
  5.833333333333333E-02 -1.777783249689863E+00 -1.863238712215775E+00 -1.842110173356660E-01
  5.916666666666667E-02 -1.765235181734564E+00 -1.850690644260476E+00 -1.842110173356660E-01
  6.000000000000000E-02 -1.752687113779265E+00 -1.838142576305178E+00 -1.842110173356660E-01
  6.083333333333334E-02 -1.740139045823967E+00 -1.819320474372220E+00 -1.842110173356660E-01
  6.166666666666667E-02 -1.727590977868668E+00 -1.806772406416921E+00 -1.904850513133153E-01
  6.250000000000000E-02 -1.715042909913369E+00 -1.794224338461623E+00 -1.904850513133153E-01
  6.333333333333334E-02 -1.702494841958071E+00 -1.781676270506324E+00 -1.904850513133153E-01
  6.416666666666666E-02 -1.689946774002772E+00 -1.762854168573367E+00 -1.904850513133153E-01
