 X0/lambda deviation_CS_X deviation_CS_Y deviation_CS_Z
  8.333333333333334E-04  1.998768744108418E-01 -1.753906241388572E-01  1.231770054267732E+01
  1.666666666666667E-03  1.997019752070317E-01 -1.755427184523980E-01  1.231681999565252E+01
  2.500000000000000E-03  2.056845312917113E-01 -1.757961907999076E-01  1.231535248870706E+01
  3.333333333333334E-03  2.052765058773782E-01 -1.761510139208269E-01  1.231329812898616E+01
  4.166666666666667E-03  2.047519765723035E-01 -1.766071496541975E-01  1.231065706649581E+01
  5.000000000000000E-03  2.041109994656174E-01 -1.708905149649497E-01  1.230742949410554E+01
  5.833333333333334E-03  2.033536430992615E-01 -1.715491178595389E-01  1.230361564755191E+01
  6.666666666666667E-03  2.024799884613182E-01 -1.723088535260534E-01  1.229921580544278E+01
  7.500000000000000E-03  2.077641629555357E-01 -1.731696402521112E-01  1.229423028926235E+01
  8.333333333333333E-03  2.066582044813925E-01 -1.678573514778066E-01  1.228865946337701E+01
  9.166666666666667E-03  2.054362652895807E-01 -1.689199517158683E-01  1.228250373504190E+01
  1.000000000000000E-02  2.103725100372092E-01 -1.638092587184612E-01  1.227576355440826E+01
  1.083333333333333E-02  2.089190138419694E-01 -1.650732153102400E-01  1.226843941453160E+01
  1.166666666666667E-02  2.073499661336350E-01 -1.601636175797528E-01  1.226053185138053E+01
  1.250000000000000E-02  2.119395687058375E-01 -1.616283867144582E-01  1.225204144384638E+01
  1.333333333333333E-02  2.101399337662485E-01 -1.569192971946309E-01  1.224296881375368E+01
  1.416666666666667E-02  2.144993217623656E-01 -1.585842486305459E-01  1.223331462587120E+01
  1.500000000000000E-02  2.124698695410306E-01 -1.540749939583857E-01  1.222307958792390E+01
  1.583333333333333E-02  2.165998621493536E-01 -1.496653773021742E-01  1.221226445060552E+01
  1.666666666666667E-02  2.143414609917857E-01 -1.516292320599964E-01  1.220087000759195E+01
  1.750000000000000E-02  2.182429756286163E-01 -1.474182789916441E-01  1.218889709555533E+01
  1.833333333333333E-02  2.220306259082581E-01 -1.433063301060973E-01  1.217634659417882E+01
  1.916666666666667E-02  2.194306438749505E-01 -1.392931527734013E-01  1.216321942617219E+01
  2.000000000000000E-02  2.229913756752402E-01 -1.353785037262081E-01  1.214951655728802E+01
